user,tipo_informe,num_informe,fecha_update,mes,region,provincia,comuna,tipo_alerta,num_cierre,fecha_cierre,alert_code,detalle
BCG,Técnico,016,07/01/2016,Enero,Magallanes,No value,No value,Incendio forestal,016-A,11/01/2016,1,No value
DNG,Técnico,028,10/01/2016,Enero,O'Higgins,No value,No value,Incendio forestal,028-A,11/01/2016,1,No value
DTL,Técnico,033,13/01/2016,Enero,Metropolitana,No value,No value,Incendio forestal,033-A,16/01/2016,1,No value
DTL,Técnico,044-A,15/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,044-C,19/01/2016,1,No value
DTL,Técnico,045-A,15/01/2016,Enero,O'Higgins,No value,No value,Incendio forestal,045-C,16/01/2016,1,No value
DTL,Técnico,051,15/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,051-A,16/01/2016,1,No value
DTL,Técnico,063,17/01/2016,Enero,O'Higgins,No value,No value,Incendio forestal,063-A,19/01/2016,2,No value
DNG,Técnico,069,20/01/2016,Enero,Maule,No value,No value,Incendio forestal,069-A,21/01/2016,1,No value
DNG,Técnico,070,20/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,070-A,20/01/2016,1,No value
DNG,Técnico,071,20/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,071-B,21/01/2016,1,No value
DNG,Técnico,072,20/01/2016,Enero,Aysén,No value,No value,Incendio forestal,72-D,08/02/2016,1,No value
DNG,Técnico,073,20/01/2016,Enero,Maule,No value,No value,Incendio forestal,073-B,21/01/2016,1,No value
DNG,Técnico,076-A,21/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,076-C,22/01/2016,1,No value
DNG,Técnico,076-A,21/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,076-C,22/01/2016,1,No value
DNG,Técnico,083-A,22/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,083-B,22/01/2016,1,No value
NPR,Técnico,098,27/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,098-B,27/01/2016,1,No value
NPR,Técnico,099,27/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,099-B,29/01/2016,1,No value
NPR,Técnico,112,28/01/2016,Enero,Metropolitana,No value,No value,Incendio forestal,112-A,28/01/2016,1,No value
BCG,Técnico,124,30/01/2016,Enero,Valparaíso,No value,No value,Incendio forestal,124-A,30/01/2016,1,No value
JVB,Técnico,129-C,01/02/2016,Febrero,La Araucanía,No value,No value,Incendio forestal,129-F,04/02/2016,1,No value
JVB,Técnico,129-C,01/02/2016,Febrero,La Araucanía,No value,No value,Incendio forestal,129-F,04/02/2016,1,No value
JVB,Técnico,136-A,02/02/2016,Febrero,Magallanes,No value,No value,Incendio forestal,136-B,03/02/2016,2,No value
VMT,Técnico,147,04/02/2016,Febrero,Los Lagos,No value,No value,Incendio forestal,147-A,29/03/2016,1,No value
JVB,Técnico,159,06/02/2016,Febrero,Los Lagos,No value,No value,Incendio forestal,159-B,12/02/2016,1,No value
NPR,Técnico,160,06/02/2016,Febrero,Los Lagos,No value,No value,Incendio forestal,160-A,20/02/2016,1,No value
VMT,Técnico,170,09/02/2016,Febrero,Metropolitana,No value,No value,Incendio forestal,170-A,10/02/2016,1,No value
VMT,Técnico,172,09/02/2016,Febrero,La Araucanía,No value,No value,Incendio forestal,172-A,11/02/2016,1,No value
VMT,Técnico,177-A,10/02/2016,Febrero,Aysén,No value,No value,Incendio forestal,177-B,15/02/2016,1,No value
VMT,Técnico,165-A,10/02/2016,Febrero,Los Lagos,No value,No value,Incendio forestal,165-B,12/02/2016,1,No value
VMT,Técnico,183,11/02/2016,Febrero,Aysén,No value,No value,Incendio forestal,183-A,18/02/2016,1,No value
VMT,Técnico,184,11/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,184-B,15/02/2016,1,No value
DNG,Técnico,187,13/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,187-A,13/02/2016,1,No value
BCG,Técnico,192-A,14/02/2016,Febrero,O'Higgins,No value,No value,Incendio forestal,192-E,19/02/2016,1,No value
DNG,Técnico,198,15/02/2016,Febrero,Metropolitana,No value,No value,Incendio forestal,198-B,16/02/2016,1,No value
VMT,Técnico,200,16/02/2016,Febrero,Maule,No value,No value,Incendio forestal,200-A,16/02/2016,1,No value
DNG,Técnico,201,16/02/2016,Febrero,Metropolitana,No value,No value,Incendio forestal,201-A,16/02/2016,1,No value
DNG,Técnico,209,17/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,209-A,17/02/2016,1,No value
DNG,Técnico,209,17/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,209-A,17/02/2016,1,No value
VMT,Técnico,211-A,18/02/2016,Febrero,Maule,No value,No value,Incendio forestal,211-B,18/02/2016,1,No value
VMT,Técnico,215,18/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,215-C,20/02/2016,1,No value
VMT,Técnico,215,18/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,215-C,20/02/2016,1,No value
DNG,Técnico,219,19/02/2016,Febrero,Metropolitana,No value,No value,Incendio forestal,219-A,19/02/2016,1,No value
VMT,Técnico,224-A,19/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,224-D,21/02/2016,1,No value
VMT,Técnico,231,21/02/2016,Febrero,Valparaíso,No value,No value,Incendio forestal,231-A,21/02/2016,1,No value
DNG,Técnico,240,23/02/2016,Febrero,Biobío,No value,No value,Incendio forestal,240-A,23/02/2016,1,No value
DNG,Técnico,243,23/02/2016,Febrero,Biobío,No value,No value,Incendio forestal,243-B,25/02/2016,1,No value
DNG,Técnico,247,24/02/2016,Febrero,O'Higgins,No value,No value,Incendio forestal,247-A,24/02/2016,1,No value
DNG,Técnico,248,24/02/2016,Febrero,Metropolitana,No value,No value,Incendio forestal,248-A,25/02/2016,1,No value
BCG,Técnico,264,28/02/2016,Febrero,Metropolitana,No value,No value,Incendio forestal,264-A,29/02/2016,1,No value
