user,tipo_informe,num_informe,fecha_update,mes,region,provincia,comuna,tipo_alerta,motivo_alerta,num_cierre,fecha_cierre,alert_code,detalle
VMT,Técnico,005,01/01/2017,Enero,Arica y Parinacota,-,-,Hidrometeorológica,Precipitaciones estivales altiplánicas,005-A,10/01/2017,3,Precipitaciones estivales altiplánicas
VMT,Técnico,010,02/01/2017,Enero,Los Lagos,Llanquihue,-,Hidrometeorológica,Tormentas eléctricas,010-A,04/01/2017,2,Tormentas eléctricas
VMT,Técnico,010,02/01/2017,Enero,Los Lagos,Chiloé,-,Hidrometeorológica,Tormentas eléctricas,010-A,04/01/2017,2,Tormentas eléctricas
VMT,Técnico,010,02/01/2017,Enero,Los Lagos,Palena,-,Hidrometeorológica,Tormentas eléctricas,010-A,04/01/2017,2,Tormentas eléctricas
VMT,Técnico,014,02/01/2017,Enero,Aysén,Aysén,-,Hidrometeorológica,Tormentas eléctricas,014-A,04/01/2017,2,Tormentas eléctricas
VMT,Técnico,014,02/01/2017,Enero,Aysén,Coyhaique,-,Hidrometeorológica,Tormentas eléctricas,014-A,04/01/2017,2,Tormentas eléctricas
VMT,Técnico,015,02/01/2017,Enero,Biobío,-,Chillán Viejo,Forestal,Incendio forestal,015-A,02/01/2017,1,Incendio forestal
VMT,Técnico,015,02/01/2017,Enero,Biobío,Ñuble,-,Forestal,Incendio forestal,015-A,02/01/2017,2,Incendio forestal
NSP,Técnico,015-A,02/01/2017,Enero,Biobío,-,-,Forestal,Incendio forestal,106-A,19/01/2017,3,Incendio forestal
PTB,Técnico,018,03/01/2017,Enero,O'Higgins,-,Chépica,Forestal,Incendio forestal,018-A,05/01/2017,1,Incendio forestal
VMT,Técnico,019,03/01/2017,Enero,O'Higgins,-,Pichidegua,Forestal,Incendio forestal,019-A,04/01/2017,1,Incendio forestal
VMT,Técnico,024,04/01/2017,Enero,O'Higgins,-,Navidad,Forestal,Incendio forestal,024-A,05/01/2017,1,Incendio forestal
VMT,Técnico,026,04/01/2017,Enero,Biobío,-,Chillán,Forestal,Incendio forestal,026-A,04/01/2017,1,Incendio forestal
VMT,Técnico,026,04/01/2017,Enero,Biobío,-,Chillán Viejo,Forestal,Incendio forestal,026-A,04/01/2017,1,Incendio forestal
VMT,Técnico,028,04/01/2017,Enero,O'Higgins,-,Litueche,Forestal,Incendio forestal,028-A,04/01/2017,1,Incendio forestal
VMT,Técnico,030,04/01/2017,Enero,Biobío,Concepción,-,Forestal,Incendio forestal,030-A,04/01/2017,2,Incendio forestal
NSP,Técnico,028-A,04/01/2017,Enero,O'Higgins,-,Litueche,Forestal,Incendio forestal,028-B,07/01/2017,1,Incendio forestal
PTB,Técnico,028-B,07/01/2017,Enero,O'Higgins,-,Litueche,Forestal,Incendio forestal,028-C,07/01/2017,1,Incendio forestal
PTB,Técnico,056,08/01/2017,Enero,Antofagasta,El Loa,-,Hidrometeorológica,Precipitaciones en precordillera y cordillera,056-H,20/01/2017,2,Precipitaciones en precordillera y cordillera
