ID,POLYGON_AREA [ha],CENTER_POLYGON_X,CENTER_POLYGON_Y
1,102.4172,-73.00354775284765,-45.38255624989097
2,4.1407,-73.003422035334,-45.38318117399066
3,14.2137,-73.00179220504374,-45.387140676150565
4,13.6499,-73.0158744671366,-45.430502130405905
5,0.5427,-73.02535361624093,-45.42488459049573
6,7.0076,-73.09851836181919,-45.42369846441237
7,20.1417,-73.0344113312653,-45.354639845060994
8,2.1044,-73.09183272922402,-45.41041205922816
9,3.4153,-73.09150576178762,-45.411294956314215
10,1.1398,-73.0855619414589,-45.41494174671895
11,0.8044,-73.0847074451435,-45.41449542399052
12,4.3025,-73.03073579731603,-45.352818371781304
13,1.5937,-73.03048145578633,-45.35140105328903
14,1.6743,-73.0249927476011,-45.35316386144717
15,15.6434,-73.02762966434524,-45.34814338360987
16,3.575,-73.0218873173718,-45.342322801516985
17,3.7655,-73.02277760571947,-45.34379775288118
18,4.4586,-73.0174922939968,-45.34134423765211
19,2.9288,-73.01505190529231,-45.342833828054715
20,2.6931,-73.01248782412901,-45.342538785186875
21,0.3988,-73.01387588216427,-45.34338337878526
22,19.045,-73.00359699652972,-45.341794926259546
23,11.1666,-73.00802192563054,-45.34040105449631
24,5.1739,-73.01020135025594,-45.34107296368062
25,2.449,-73.00107924878142,-45.34136498220469
26,3.744,-73.00537918098928,-45.34286566057266
27,3.7792,-72.99326694501825,-45.33889549275587
28,0.6496,-73.00091488500519,-45.340239351346206
29,1.1361,-73.0009175191344,-45.33804095371901
30,1.0099,-72.99810161525241,-45.34189504281781
31,0.8331,-72.99714742639155,-45.34228112899005
32,1.1041,-72.98997625887992,-45.338938768014906
33,0.212,-72.98942391571059,-45.340824020647474
34,8.21,-72.98021502295347,-45.35038311679937
35,0.6782,-72.98797861596783,-45.346377586978384
36,42.1941,-72.98144322909566,-45.34106330521805
37,0.9621,-72.98412239596055,-45.33760400918286
38,0.128,-72.98378095676846,-45.33803540108037
39,0.0443,-72.98364201026023,-45.33768089569384
40,0.1186,-72.9851397577503,-45.33782829151615
41,0.3838,-72.98502415669431,-45.33681563627941
42,9.828,-72.99690566900914,-45.330054343238466
43,0.4461,-72.99079531427367,-45.329429473932656
44,0.8519,-73.0090907882766,-45.33197246465791
45,10.7663,-73.0484231392037,-45.24508257255076
46,0.5756,-73.04881111302876,-45.329679154407636
47,0.5039,-73.04763288633742,-45.33016179364671
48,1.8116,-73.04905420552161,-45.332276984712486
49,0.8481,-73.0544989182089,-45.32454906832132
50,0.853,-73.05379703020782,-45.32193537196926
51,0.9145,-73.0510230264705,-45.327207119208424
52,0.5524,-73.03772940080523,-45.32994252284658
53,0.5589,-73.03686946407828,-45.330538854949175
54,1.0927,-73.03705238210874,-45.327913907048455
55,2.7125,-73.04021837660133,-45.329191750549455
56,0.7037,-73.04703257057078,-45.32901245379899
57,0.7005,-73.0414586285113,-45.328453189253445
58,2.428,-73.02747007341468,-45.32670324123673
59,6.5861,-73.02878600783234,-45.33059112080155
60,2.2884,-73.02127373939283,-45.32663163383035
61,3.4133,-73.02088405753949,-45.326362999231044
62,1.7986,-73.0230623496358,-45.324873054532084
63,0.3929,-73.02333749901584,-45.32417456863076
64,0.5645,-73.02260251875548,-45.32287610511028
65,8.4423,-73.02463286126107,-45.31364455167274
66,0.668,-73.0217226884617,-45.31145667730661
67,1.5184,-73.0304004652309,-45.315833863713394
68,0.3622,-73.02720362591337,-45.31638401428168
69,2.0715,-73.03393948076358,-45.3113791047196
70,1.3002,-73.03294727256882,-45.30957997314737
71,0.1086,-73.03308153275863,-45.309930309493076
72,0.5827,-73.0359011311339,-45.30837735145392
73,0.3366,-73.03515230604896,-45.30854318318336
74,0.8675,-73.03318903330647,-45.30851609559214
75,0.1806,-73.03696127816394,-45.30513849295223
76,0.0733,-73.03559228148762,-45.30557149915816
77,0.378,-73.03971250886998,-45.299396534466645
78,0.3231,-73.03997454403932,-45.29742938731415
79,0.1448,-73.03965282714191,-45.298465866062116
80,0.2605,-73.04079773177523,-45.29526895591887
81,0.1891,-73.04220878517293,-45.30099760401884
82,0.3952,-73.0423108164947,-45.29589359774024
83,0.1521,-73.04108263593923,-45.29979027069729
84,0.074,-73.04186825236293,-45.30042953031427
85,0.0972,-73.04014447878056,-45.297736552287965
86,0.2874,-73.04386649584917,-45.292706424929605
87,0.8289,-73.04157171507883,-45.293023045303705
88,0.4727,-73.0389888983672,-45.29101979623372
89,1.8061,-73.0364816848167,-45.29146712936168
90,0.1717,-73.02393531693484,-45.26057906738357
91,1.348,-73.01514613394247,-45.27371786114767
92,0.2275,-73.03521191195144,-45.29195440668345
93,0.6329,-73.09223637185909,-45.29753166701823
94,0.6924,-73.0999267389833,-45.29903856477735
95,0.9326,-73.09524529609185,-45.294353882573944
96,0.0541,-73.09306297693983,-45.29524410130006
97,0.1177,-73.09191159627115,-45.29594152005734
98,1.5993,-73.05057931657727,-45.314368420299985
99,0.3328,-73.05076940969765,-45.313725083759486
100,0.1499,-73.0473639892689,-45.3137028833818
101,0.4346,-73.05483438170646,-45.32516447038729
102,0.0473,-73.05357758795806,-45.3232062881568
103,0.2031,-73.05851194620278,-45.3282690629448
104,0.3455,-73.09822982470259,-45.32450655948786
105,0.1735,-73.09178364672643,-45.3004950924909
106,0.1127,-73.09039655698494,-45.30088112571895
107,0.3388,-73.10095950768135,-45.316603101562045
108,0.2468,-73.03648090894009,-45.345177509347145
109,7.4946,-73.02493936259138,-45.36678928082186
110,1.129,-73.02180867569142,-45.36019682965429
111,1.4155,-73.02175476823543,-45.361236500389424
112,0.5312,-73.01667101724638,-45.364530134773275
113,1.1069,-73.02014420338136,-45.366732503113646
114,1.6956,-73.0219806872663,-45.36748235920714
115,0.5843,-73.02393635033006,-45.36437732132347
116,0.6594,-73.01841473510893,-45.36543521347586
117,0.4353,-73.02010783939767,-45.35921500807975
118,10.3715,-72.99512778900777,-45.37353119165903
119,0.5885,-73.00069249606078,-45.375177369313505
120,2.1788,-72.9999918452823,-45.374891961745945
121,0.6763,-72.99895411757373,-45.37352683540777
122,0.2538,-72.99812667539749,-45.373597137374595
123,0.7843,-72.98641258280107,-45.37444286898605
124,2.4558,-72.98076582733792,-45.371161427167245
125,2.2363,-72.97818156074347,-45.37158806453512
126,2.6846,-72.97247464671823,-45.37267054945131
127,1.6018,-72.9743333583365,-45.36944208357795
128,0.9176,-72.9910918160186,-45.386046787945965
129,2.3646,-73.00561489042285,-45.39593518801408
130,2.739,-72.97098279187578,-45.39049646078407
131,22.7875,-72.96890798575244,-45.40041479480121
132,16.0904,-72.97221889526665,-45.40063261502149
133,26.4224,-72.96427457934851,-45.40189858099047
134,14.1919,-72.9609631012437,-45.404347819207096
135,0.2979,-72.97245664707027,-45.40872349095182
136,0.1089,-73.03122646742115,-45.33971909545718
137,0.1101,-73.03119027430424,-45.340962673103675
138,2.4452,-72.974995342895,-45.34128084396734
139,2.1985,-72.97405161480933,-45.342747280731224
140,1.1615,-72.97545016426344,-45.34179536841222
141,0.3373,-72.97981982231448,-45.33537520112924
142,1.8808,-72.97543605142586,-45.33856604646811
143,16.1537,-72.97438471135673,-45.33636350792701
144,11.8365,-72.96570731941691,-45.33502147724536
145,4.0895,-72.96230712743927,-45.3364999818068
146,1.476,-72.96153151926647,-45.33649319209972
147,0.567,-72.97053903664236,-45.33098229252901
148,0.2536,-72.9621861967424,-45.34046328486291
149,0.2314,-72.96139083211327,-45.34040814245815
150,0.527,-72.95706580226218,-45.3412985507988
151,0.9186,-72.95715701805915,-45.34227766932346
152,2.6985,-72.95312884180055,-45.33492407214399
153,0.3434,-72.95328316850146,-45.33628985705448
154,0.6416,-72.97507471608245,-45.34515270596993
155,2.1131,-72.97292534308832,-45.34463413171908
156,1.782,-72.94578880842462,-45.33484113481854
157,0.6764,-72.9424598531368,-45.332123383292874
158,0.1713,-72.94165577638852,-45.33281812761176
159,0.371,-72.94012967126318,-45.33407085772779
160,2.3909,-72.93766843545393,-45.33200536803474
161,0.9582,-72.93242266835033,-45.33254214467805
162,3.6705,-72.93109709303081,-45.333083148856886
