Fecha,Forecast,Lower_CI,Upper_CI,Exog_Pred_Eventos
2021-01-01,79797919716.24176,44552839826.24439,115042999606.23914,2213
2021-07-01,70499999582.52377,33531348220.99363,107468650944.05392,782
2022-01-01,80322867468.87329,35876158039.51111,124769576898.23547,2008
2022-07-01,60391465288.4773,13340841511.273537,107442089065.68106,0
2023-01-01,82768729675.25668,32679260178.724068,132858199171.7893,2213
2023-07-01,68157432982.46806,15578242455.5942,120736623509.34192,782
2024-01-01,80706538703.09778,25684288996.897087,135728788409.29846,2008
2024-07-01,60088929807.88585,2770944243.75428,117406915372.01743,0
2025-01-01,82818279669.36676,23285170655.709244,142351388683.0243,2213
2025-07-01,68118361428.6371,6454833301.962547,129781889555.31165,782
2026-01-01,80712937936.86176,16989228057.067764,144436647816.65576,2008
2026-07-01,60083883833.39128,-5634828031.58992,125802595698.37248,0
2027-01-01,82819106111.2968,15164079788.05674,150474132434.53687,2213
2027-07-01,68117709756.10035,-1419657292.2778091,137655076804.47852,782
2028-01-01,80713044669.36894,9342951064.798172,152083138273.9397,2008
2028-07-01,60083799671.82931,-13073112021.122597,133240711364.78122,0
2029-01-01,82819119895.48135,7918002039.200165,157720237751.76254,2213
2029-07-01,68117698886.885956,-8487921049.609558,144723318823.38147,782
2030-01-01,80713046449.5552,2440033289.131592,158986059609.97882,2008
2030-07-01,60083798268.10272,-19821821994.736176,139989418530.94162,0
