Fecha,Forecast,Lower_CI,Upper_CI,Exog_Pred_Eventos
2021-01-01,14796593369.757732,8007453989.152428,21585732750.363037,120.5
2021-07-01,14796593369.757732,5195300380.864435,24397886358.65103,120.5
2022-01-01,14796593369.757732,3037459022.8826466,26555727716.63282,120.5
2022-07-01,14796593369.757732,1218314608.547123,28374872130.96834,120.5
2023-01-01,14796593369.757732,-384383793.9965458,29977570533.51201,120.5
2023-07-01,14796593369.757732,-1833333905.3603,31426520644.875763,120.5
2024-01-01,14796593369.757732,-3165781047.4789925,32758967786.994457,120.5
2024-07-01,14796593369.757732,-4405992608.028858,33999179347.544323,120.5
2025-01-01,14796593369.757732,-5570824772.058178,35164011511.57364,120.5
2025-07-01,14796593369.757732,-6672550425.2998085,36265737164.81528,120.5
2026-01-01,14796593369.757732,-7720434605.135925,37313621344.65139,120.5
2026-07-01,14796593369.757732,-8721675323.992435,38314862063.507904,120.5
2027-01-01,14796593369.757732,-9681996783.286522,39275183522.80199,120.5
2027-07-01,14796593369.757732,-10606040143.521965,40199226883.03743,120.5
2028-01-01,14796593369.757732,-11497630386.40755,41090817125.92302,120.5
2028-07-01,14796593369.757732,-12359964152.663486,41953150892.178955,120.5
2029-01-01,14796593369.757732,-13195745403.518402,42788932143.03387,120.5
2029-07-01,14796593369.757732,-14007285596.922161,43600472336.43762,120.5
2030-01-01,14796593369.757732,-14796579103.913116,44389765843.42858,120.5
2030-07-01,14796593369.757732,-15565360957.750828,45158547697.2663,120.5
