Region,Fecha,Inversion
BioBio,2000-07-01,51407000
BioBio,2000-07-01,20502000
BioBio,2000-07-01,170526000
BioBio,2000-07-01,80937000
BioBio,2000-07-01,39016000
BioBio,2000-07-01,73039000
BioBio,2000-07-01,4549909000
BioBio,2000-07-01,101140000
BioBio,2000-07-01,495174000
BioBio,2000-07-01,51293000
BioBio,2000-07-01,36031000
BioBio,2000-07-01,108343000
BioBio,2000-07-01,20922000
BioBio,2000-07-01,213000
BioBio,2000-07-01,2869000
BioBio,2000-07-01,210992000
BioBio,2000-07-01,103253000
BioBio,2000-07-01,13732000
BioBio,2000-07-01,8979000
BioBio,2000-07-01,589000
BioBio,2000-07-01,6867000
BioBio,2000-07-01,133000
BioBio,2000-07-01,969661000
BioBio,2000-07-01,6677000
BioBio,2000-07-01,1202000
BioBio,2000-07-01,33000000
BioBio,2000-07-01,31824000
BioBio,2000-07-01,144000
BioBio,2000-07-01,131642000
BioBio,2000-07-01,43262000
BioBio,2000-07-01,22731000
BioBio,2000-07-01,446996000
BioBio,2000-07-01,3986000
BioBio,2000-07-01,451000
BioBio,2000-07-01,26177000
BioBio,2000-07-01,79995000
BioBio,2000-07-01,97051000
BioBio,2000-07-01,72000
BioBio,2000-07-01,47000
BioBio,2000-07-01,15434000
BioBio,2000-07-01,1597387000
BioBio,2000-07-01,2394032000
BioBio,2000-07-01,7542561000
BioBio,2000-07-01,48276000
BioBio,2000-07-01,19985000
BioBio,2000-07-01,653477000
BioBio,2000-07-01,74000
BioBio,2000-07-01,149000
BioBio,2000-07-01,55564000
BioBio,2000-07-01,58443000
BioBio,2000-07-01,495000
BioBio,2000-07-01,3062181000
BioBio,2000-07-01,20483000
BioBio,2000-07-01,128000
BioBio,2000-07-01,9864000
BioBio,2000-07-01,491000
BioBio,2000-07-01,7227000
BioBio,2000-07-01,179994000
BioBio,2000-07-01,5398000
BioBio,2000-07-01,162000
BioBio,2000-07-01,3150000
BioBio,2000-07-01,128000
BioBio,2000-07-01,209367000
BioBio,2000-07-01,664304000
BioBio,2000-07-01,53857000
BioBio,2000-07-01,17998000
BioBio,2000-07-01,875366000
BioBio,2000-07-01,4115000000
BioBio,2000-07-01,640494000
BioBio,2000-07-01,16535000
BioBio,2000-07-01,33384000
BioBio,2000-07-01,200000
BioBio,2000-07-01,547000
BioBio,2000-07-01,42101000
BioBio,2000-07-01,29428000
BioBio,2000-07-01,29907000
BioBio,2000-07-01,1783736000
BioBio,2000-07-01,20474000
BioBio,2000-07-01,1079168000
BioBio,2000-07-01,209498000
BioBio,2000-07-01,2289640000
BioBio,2000-07-01,42193000
BioBio,2000-07-01,283358000
BioBio,2000-07-01,21890000
BioBio,2000-07-01,41883000
BioBio,2000-07-01,189610000
BioBio,2000-07-01,299000
BioBio,2000-07-01,138000
BioBio,2000-07-01,969911000
BioBio,2000-07-01,402987000
BioBio,2000-07-01,9750000
BioBio,2000-07-01,117000
BioBio,2000-07-01,260384000
BioBio,2000-07-01,47927000
BioBio,2000-07-01,94000
BioBio,2000-07-01,388000
BioBio,2000-07-01,769000
BioBio,2000-07-01,8889000
BioBio,2000-07-01,1125402000
BioBio,2000-07-01,21088000
BioBio,2000-07-01,215000
BioBio,2000-07-01,14757000
BioBio,2000-07-01,3028000
BioBio,2000-07-01,622000
BioBio,2000-07-01,2670000
BioBio,2000-07-01,21954000
BioBio,2000-07-01,497000
BioBio,2000-07-01,25000000
BioBio,2000-07-01,5000000
BioBio,2000-07-01,15000000
BioBio,2000-07-01,59854000
BioBio,2000-07-01,20000000
BioBio,2000-07-01,30000000
BioBio,2000-07-01,240958000
BioBio,2000-07-01,6000000
BioBio,2000-07-01,129860000
BioBio,2000-07-01,640038000
BioBio,2000-07-01,474341000
BioBio,2000-07-01,107483000
BioBio,2000-07-01,30500000
BioBio,2000-07-01,235734000
BioBio,2000-07-01,160009000
BioBio,2000-07-01,51668000
BioBio,2000-07-01,134562000
BioBio,2000-07-01,30060000
BioBio,2000-07-01,59492000
BioBio,2000-07-01,4283000
BioBio,2000-07-01,884180000
BioBio,2000-07-01,16500000
BioBio,2000-07-01,45088000
BioBio,2000-07-01,264273000
BioBio,2000-07-01,94411000
BioBio,2000-07-01,138893000
BioBio,2000-07-01,2198000
BioBio,2000-07-01,373482000
BioBio,2000-07-01,21983000
BioBio,2000-07-01,2783000
BioBio,2000-07-01,20091000
BioBio,2000-07-01,28797000
BioBio,2000-07-01,12754000
BioBio,2000-07-01,4397000
BioBio,2000-07-01,3500000
BioBio,2000-07-01,3441000
BioBio,2000-07-01,14994000
BioBio,2001-07-01,168059000
BioBio,2001-07-01,25466000
BioBio,2001-07-01,40871000
BioBio,2001-07-01,62000000
BioBio,2001-07-01,119055000
BioBio,2001-07-01,23000000
BioBio,2001-07-01,84037000
BioBio,2001-07-01,138735000
BioBio,2001-07-01,67282000
BioBio,2001-07-01,41917000
BioBio,2001-07-01,142873000
BioBio,2001-07-01,61999000
BioBio,2001-07-01,6141464000
BioBio,2001-07-01,398956000
BioBio,2001-07-01,274798000
BioBio,2001-07-01,86849000
BioBio,2001-07-01,86961000
BioBio,2001-07-01,106293000
BioBio,2001-07-01,78499000
BioBio,2001-07-01,63747000
BioBio,2001-07-01,193054000
BioBio,2001-07-01,129665000
BioBio,2001-07-01,96945000
BioBio,2001-07-01,22299000
BioBio,2001-07-01,103534000
BioBio,2001-07-01,8417000
BioBio,2001-07-01,513000
BioBio,2001-07-01,20355000
BioBio,2001-07-01,87000
BioBio,2001-07-01,957546000
BioBio,2001-07-01,45182000
BioBio,2001-07-01,46000000
BioBio,2001-07-01,3940000
BioBio,2001-07-01,3162000
BioBio,2001-07-01,53943000
BioBio,2001-07-01,59303000
BioBio,2001-07-01,322184000
BioBio,2001-07-01,9300000
BioBio,2001-07-01,10000
BioBio,2001-07-01,44000
BioBio,2001-07-01,43000
BioBio,2001-07-01,7148000
BioBio,2001-07-01,625553000
BioBio,2001-07-01,12338000
BioBio,2001-07-01,627000
BioBio,2001-07-01,40474000
BioBio,2001-07-01,14653000
BioBio,2001-07-01,1842969000
BioBio,2001-07-01,1435818000
BioBio,2001-07-01,518772000
BioBio,2001-07-01,39356000
BioBio,2001-07-01,88730000
BioBio,2001-07-01,259000
BioBio,2001-07-01,1649091000
BioBio,2001-07-01,39222000
BioBio,2001-07-01,32355000
BioBio,2001-07-01,87049000
BioBio,2001-07-01,1973452000
BioBio,2001-07-01,19867000
BioBio,2001-07-01,5000000
BioBio,2001-07-01,97801000
BioBio,2001-07-01,1707725000
BioBio,2001-07-01,468645000
BioBio,2001-07-01,6182000
BioBio,2001-07-01,529000
BioBio,2001-07-01,137099000
BioBio,2001-07-01,11000
BioBio,2001-07-01,1857292000
BioBio,2001-07-01,11704000
BioBio,2001-07-01,1299000
BioBio,2001-07-01,22215000
BioBio,2001-07-01,28775000
BioBio,2001-07-01,10000
BioBio,2001-07-01,421953000
BioBio,2001-07-01,1203134000
BioBio,2001-07-01,876797000
BioBio,2001-07-01,1841449000
BioBio,2001-07-01,1831013000
BioBio,2001-07-01,2143431000
BioBio,2001-07-01,666121000
BioBio,2001-07-01,133189000
BioBio,2001-07-01,160156000
BioBio,2001-07-01,173223000
BioBio,2001-07-01,512499000
BioBio,2001-07-01,7128000
BioBio,2001-07-01,436895000
BioBio,2001-07-01,84365000
BioBio,2001-07-01,24261000
BioBio,2001-07-01,138463000
BioBio,2001-07-01,26000
BioBio,2001-07-01,1455984000
BioBio,2001-07-01,21401000
BioBio,2001-07-01,30673000
BioBio,2001-07-01,2998000
BioBio,2001-07-01,14389000
BioBio,2001-07-01,2789000
BioBio,2001-07-01,5609000
BioBio,2001-07-01,42302000
BioBio,2001-07-01,7128000
BioBio,2001-07-01,7934000
BioBio,2001-07-01,85998000
BioBio,2001-07-01,3217000
BioBio,2001-07-01,2019000
BioBio,2001-07-01,11057000
BioBio,2001-07-01,418854000
BioBio,2001-07-01,258114000
BioBio,2001-07-01,249435000
BioBio,2001-07-01,4000000
BioBio,2001-07-01,243295000
BioBio,2001-07-01,74550000
BioBio,2001-07-01,169143000
BioBio,2001-07-01,68811000
BioBio,2001-07-01,187518000
BioBio,2001-07-01,205432000
BioBio,2001-07-01,169000000
BioBio,2001-07-01,7175000
BioBio,2001-07-01,59776000
BioBio,2001-07-01,354000
BioBio,2001-07-01,2764000
BioBio,2001-07-01,27524000
BioBio,2001-07-01,522896000
BioBio,2001-07-01,135212000
BioBio,2001-07-01,249000
BioBio,2001-07-01,23414000
